time	На работу	Домой
00:04	357	322
00:09	357	338
00:14	352	322
00:19	359	330
00:24	351	319
00:29	344	319
00:34	353	315
00:39	350	317
00:45	349	325
00:50	353	317
00:55	350	315
01:00	348	320
01:05	349	320
01:10	344	313
01:15	348	312
01:20	319	296
01:25	347	309
01:30	356	314
01:35	342	311
01:40	350	308
01:45	351	314
01:50	348	309
01:55	348	308
02:00	343	316
02:05	348	311
02:10	343	317
02:15	351	310
02:20	353	296
02:25	351	309
02:30	351	308
02:35	346	314
02:40	354	312
02:45	346	305
02:50	345	307
02:55	352	312
03:00	354	310
03:05	348	319
03:10	358	315
03:15	325	318
03:20	321	309
03:25	348	309
03:30	349	310
03:35	320	314
03:40	352	313
03:45	350	310
03:50	351	316
03:55	351	302
04:00	316	306
04:05	353	309
04:10	353	312
04:15	355	319
04:20	355	318
04:25	345	311
04:30	344	312
04:35	322	314
04:40	348	316
04:45	351	315
04:50	353	320
04:55	345	309
05:00	342	314
05:05	346	317
05:10	351	312
05:15	346	318
05:20	348	318
05:25	321	312
05:30	326	313
05:35	355	316
05:40	347	316
05:45	325	305
05:50	359	306
05:55	353	319
06:00	350	317
06:05	357	321
06:10	358	324
06:15	353	326
06:20	356	328
06:25	355	312
06:30	335	328
06:35	336	327
06:40	337	323
06:45	365	334
06:50	362	340
06:55	368	326
07:00	365	341
07:05	365	341
07:10	365	339
07:15	367	341
07:20	345	340
07:25	346	341
07:30	414	337
07:35	379	380
07:40	405	358
07:45	381	332
07:50	373	516
07:55	404	342
08:00	377	340
08:05	360	347
08:10	364	375
08:15	378	344
08:21	439	387
08:26	465	381
08:31	431	415
08:36	488	377
08:41	494	426
08:46	451	409
08:51	357	413
08:56	388	349
09:01	388	352
09:06	450	349
09:11	467	359
09:16	494	341
09:21	497	347
09:26	537	368
09:31	487	356
09:36	574	379
09:41	525	378
09:46	475	405
09:51	498	342
09:56	486	343
10:01	442	350
10:06	403	350
10:11	349	349
10:16	359	340
10:21	376	337
10:26	422	354
10:31	488	339
10:36	480	341
10:41	425	367
10:46	348	339
10:51	350	335
10:56	369	339
11:01	413	335
11:06	432	339
11:11	430	340
11:16	419	338
11:21	402	329
11:26	402	346
11:31	397	338
11:36	357	347
11:41	384	343
11:46	390	330
11:51	401	346
11:56	379	336
12:01	367	341
12:06	341	344
12:11	387	347
12:16	383	350
12:21	437	335
12:26	439	352
12:31	425	336
12:36	423	353
12:41	379	355
12:46	347	354
12:51	353	353
12:56	342	356
13:01	339	348
13:06	351	358
13:11	376	360
13:16	360	359
13:21	352	346
13:26	349	364
13:31	355	348
13:36	394	340
13:41	415	342
13:46	344	338
13:51	340	338
13:56	353	336
14:02	343	346
14:07	344	341
14:12	357	345
14:17	357	350
14:22	353	338
14:27	367	320
14:32	384	330
14:37	368	351
14:42	348	367
14:47	357	341
14:52	355	344
15:03	353	344
15:08	343	345
15:13	377	347
15:18	355	346
15:23	349	349
15:28	344	350
15:33	344	346
15:38	353	347
15:43	353	346
15:48	348	342
15:53	352	343
15:58	352	341
16:03	356	343
16:08	361	351
16:13	360	344
16:18	351	348
16:23	358	345
16:28	359	349
16:33	350	353
16:38	354	348
16:43	355	352
16:48	361	353
16:53	344	358
16:58	342	352
17:03	347	348
17:08	366	354
17:13	365	352
17:18	368	374
17:23	366	364
17:28	361	371
17:33	353	379
17:38	356	408
17:43	365	381
17:48	363	431
17:53	360	534
17:58	394	478
18:04	386	458
18:09	384	485
18:14	419	562
18:19	416	599
18:24	408	539
18:29	371	495
18:34	427	473
18:39	415	536
18:44	410	497
18:49	403	490
18:54	396	454
18:59	372	442
19:04	375	430
19:09	340	393
19:14	372	426
19:19	353	378
19:24	375	417
19:29	364	369
19:34	370	395
19:39	355	510
19:44	358	364
19:49	359	353
19:54	342	348
19:59	353	345
20:04	354	352
20:09	349	350
20:14	345	347
20:19	353	351
20:24	353	354
20:29	358	352
20:34	348	350
20:39	358	349
20:44	356	351
20:49	355	333
20:54	356	347
20:59	354	343
21:04	345	329
21:09	356	334
21:14	343	337
21:19	348	340
21:24	349	339
21:29	381	343
21:34	383	336
21:39	346	342
21:44	374	338
21:49	374	339
21:54	368	337
21:59	340	336
22:04	347	357
22:09	372	332
22:14	380	355
22:19	366	333
22:24	361	339
22:29	363	336
22:34	360	340
22:39	360	339
22:44	356	350
22:49	359	349
22:54	356	342
22:59	356	340
23:04	361	335
23:09	356	328
23:14	357	329
23:19	353	331
23:24	356	334
23:29	355	331
23:34	349	333
23:39	348	330
23:44	348	330
23:49	357	323
23:54	354	324
23:59	360	318
